title,description,priority,tags
Frequent voltage drops,The area at the community center is suffering due to frequent voltage drops. Immediate attention is needed.,low,"['electricity', 'infrastructure']"
Unsafe footpath,The area in the market area is suffering due to unsafe footpath. Immediate attention is needed.,high,['public safety']
Waste dumped on street,Citizens have complained about waste dumped on street in the market area. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem outside the railway station.,low,"['health', 'environment']"
Pothole,There has been a persistent issue with pothole at the bus depot. Residents are concerned.,medium,"['transport', 'infrastructure', 'road']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight at the community center. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Broken bench,"Broken bench reported in the market area, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'environment']"
Frequent theft reports,There has been a persistent issue with frequent theft reports at the bus depot. Residents are concerned.,low,"['infrastructure', 'public safety', 'health']"
Uncollected garbage,There has been a persistent issue with uncollected garbage at the community center. Residents are concerned.,medium,"['environment', 'sanitation', 'garbage']"
Pothole,Authorities are yet to act on the pothole problem at the bus depot.,medium,['road']
Faded zebra crossing,Citizens have complained about faded zebra crossing near Sector 5. It has been ignored for days.,low,['road']
Damaged bus stop,Authorities are yet to act on the damaged bus stop problem behind the hospital.,low,"['transport', 'infrastructure', 'road']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees at the community center. Residents are concerned.,medium,"['public safety', 'signal']"
Damaged wall,The area outside Building 14 is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'public safety']"
Faded zebra crossing,Citizens have complained about faded zebra crossing behind the hospital. It has been ignored for days.,low,"['transport', 'road']"
Missing bus route board,"A case of missing bus route board has emerged in the residential colony, disrupting daily activities.",low,"['transport', 'road']"
Flickering light,"Flickering light reported at the community center, causing inconvenience and safety concerns.",medium,"['public safety', 'streetlight']"
Polluted water body,Authorities are yet to act on the polluted water body problem in the market area.,low,['environment']
Damaged road,Citizens have complained about damaged road in the residential colony. It has been ignored for days.,low,['road']
Waste dumped on street,There has been a persistent issue with waste dumped on street near Sector 5. Residents are concerned.,low,['garbage']
Pothole,Authorities are yet to act on the pothole problem outside Building 14.,medium,['road']
School without drinking water,The area at the community center is suffering due to school without drinking water. Immediate attention is needed.,low,['education']
Flickering light,There has been a persistent issue with flickering light in the market area. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem at the bus depot.,low,['garbage']
Mosquito breeding site,There has been a persistent issue with mosquito breeding site in the residential colony. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Flickering light,There has been a persistent issue with flickering light at the bus depot. Residents are concerned.,medium,"['public safety', 'streetlight']"
Broken classroom windows,Citizens have complained about broken classroom windows near the lake. It has been ignored for days.,low,['education']
Open sewage,The area near Sector 5 is suffering due to open sewage. Immediate attention is needed.,high,"['sanitation', 'environment']"
School without drinking water,"School without drinking water reported near the lake, causing inconvenience and safety concerns.",low,['education']
Contaminated water,"A case of contaminated water has emerged in the residential colony, disrupting daily activities.",low,['water']
School without drinking water,There has been a persistent issue with school without drinking water at the bus depot. Residents are concerned.,low,['education']
Damaged road,There has been a persistent issue with damaged road outside the railway station. Residents are concerned.,low,['road']
Damaged wall,Citizens have complained about damaged wall near the lake. It has been ignored for days.,low,['infrastructure']
Mosquito breeding site,Citizens have complained about mosquito breeding site at the community center. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Sparking transformer,"A case of sparking transformer has emerged outside the railway station, disrupting daily activities.",high,"['electricity', 'infrastructure']"
Dark alley,"A case of dark alley has emerged by the school gate, disrupting daily activities.",high,"['public safety', 'health']"
Waste dumped on street,"A case of waste dumped on street has emerged by the school gate, disrupting daily activities.",low,"['sanitation', 'garbage']"
Pipe leakage,Citizens have complained about pipe leakage near the lake. It has been ignored for days.,low,"['health', 'water']"
Open sewage,The area near the lake is suffering due to open sewage. Immediate attention is needed.,high,"['health', 'sanitation', 'environment']"
Broken classroom windows,The area at the bus depot is suffering due to broken classroom windows. Immediate attention is needed.,low,"['health', 'education']"
